U_g,collapsed,reignitions,min_Ts,final_e,accepted_steps,rejected_steps,retcode,unphysical_cooling,low_regime_ok,high_regime_ok
2.0,true,0,268.5705153173271,-9.99999571815789e-5,118,31,Success,false,true,true
3.0,true,0,268.5705153173315,-9.999774776955378e-5,117,30,Success,false,true,true
4.0,true,0,268.57051531733754,-9.999584315437953e-5,117,31,Success,false,true,true
5.0,true,0,268.5705153173391,-0.00010000306260504867,116,31,Success,false,true,true
6.0,true,0,268.5705153173408,-0.00010004801095240203,116,31,Success,false,true,true
7.0,true,0,268.57051531734106,-9.999141857740405e-5,119,33,Success,false,true,true
8.0,true,0,268.57051531734305,-9.999146470918648e-5,116,30,Success,false,true,true
9.0,true,0,268.57051531734595,-9.999231827209617e-5,116,31,Success,false,true,true
10.0,true,0,268.5709382148624,-9.999690174739238e-5,231,76,Success,false,true,true
11.0,true,1,268.571331671392,-9.999081549684414e-5,455,112,Success,false,true,true
12.0,true,1,268.58172881456875,-0.00010000208754944034,410,71,Success,false,true,true
13.0,true,1,268.6685200566363,0.006300882281715724,274,57,Success,false,true,true
14.0,true,1,268.74398270174885,0.06825571316358932,242,53,Success,false,true,true
15.0,true,2,268.8422308253698,0.1706327647340539,228,44,Success,false,true,true
